Genbank_accession,strain_name
GCA_000006765.1,PAO1_107
GCA_000014625.1,UCBPP-PA14_109
GCA_000017205.1,PA7_119
GCA_000026645.1,LESB58_125
GCA_000226155.1,M18_172
GCA_000271365.1,DK2_174
GCA_000284555.1,NCGM2S1_173
GCA_000359505.1,B136-33_191
GCA_000414035.1,RP73_192
GCA_000468555.1,PAO581_495
GCA_000468935.1,C7447m_494
GCA_000484495.1,PAO1-VE2_493
GCA_000484545.1,PAO1-VE13_492
GCA_000496605.2,PA1_497
GCA_000496645.1,PA1R_496
GCA_000504045.1,MTB-1_210
GCA_000508765.1,LES431_489
GCA_000510305.1,SCV20265_215
GCA_000524595.1,YL84_2501
GCA_000531435.1,PA38182_7613
GCA_000829275.1,NCGM1900_2620
